| 原始标签 | 名称 | 描述 | 外部链接 |
| kinu | 鬼怒 | 旧日本海军的鬼怒号巡洋舰 | [碧蓝航线:鬼怒](https://zh.moegirl.org/碧蓝航线:鬼怒) [舰队Collection:鬼怒](https://zh.moegirl.org/舰队Collection:鬼怒) |
| abukuma | 阿武隈 | 日本海军的阿武隈号轻巡洋舰（ 阿武隈 (轻巡洋舰)） | [碧蓝航线:阿武隈](https://zh.moegirl.org/碧蓝航线:阿武隈) [舰队Collection:阿武隈](https://zh.moegirl.org/舰队Collection:阿武隈) |
| yuubari | 夕张 | 旧日本海军的夕张号巡洋舰(夕张(轻巡洋舰)) | [碧蓝航线:夕张](https://zh.moegirl.org/碧蓝航线:夕张) [战舰少女:夕张](https://zh.moegirl.org/战舰少女:夕张) [舰队Collection:夕张](https://zh.moegirl.org/舰队Collection:夕张) |
| zuihou | 瑞凤 |  | [战舰少女:瑞凤](https://zh.moegirl.org/战舰少女:瑞凤) [舰队Collection:瑞凤](https://zh.moegirl.org/舰队Collection:瑞凤) |
| mikuma | 三隈 | 旧日本海军的三隈号巡洋舰(三隈(重巡洋艦)) | [碧蓝航线:三隈](https://zh.moegirl.org/碧蓝航线:三隈) [战舰少女:三隈](https://zh.moegirl.org/战舰少女:三隈) [舰队Collection:三隈](https://zh.moegirl.org/舰队Collection:三隈) |
| hatsukaze | 初风 |  | [舰队Collection:初风](https://zh.moegirl.org/舰队Collection:初风) |
| maikaze | 舞风 |  | [舰队Collection:舞风](https://zh.moegirl.org/舰队Collection:舞风) |
| kinugasa | 衣笠 | 旧日本帝国海军青叶级重巡洋舰二番舰衣笠号(衣笠(重巡洋艦)) | [碧蓝航线:衣笠](https://zh.moegirl.org/碧蓝航线:衣笠) [战舰少女:衣笠](https://zh.moegirl.org/战舰少女:衣笠) [舰队Collection:衣笠](https://zh.moegirl.org/舰队Collection:衣笠) |
| i-19 | 伊19 | 旧日本帝国海军的伊号第十九潜水舰（伊号第十九潜水艦） | [碧蓝航线:伊19](https://zh.moegirl.org/碧蓝航线:伊19) [舰队Collection:伊19](https://zh.moegirl.org/舰队Collection:伊19) |
| suzuya | 铃谷 | 旧日本海军的铃谷号巡洋舰(鈴谷(重巡洋艦)) | [碧蓝航线:铃谷](https://zh.moegirl.org/碧蓝航线:铃谷) [战舰少女:铃谷](https://zh.moegirl.org/战舰少女:铃谷) [舰队Collection:铃谷](https://zh.moegirl.org/舰队Collection:铃谷) |
| kumano | 熊野 |  | [战舰少女:熊野](https://zh.moegirl.org/战舰少女:熊野) [舰队Collection:熊野](https://zh.moegirl.org/舰队Collection:熊野) |
| i-168 | 伊168 | 旧日本帝国海军的伊号第百六十八潜水舰（伊号第百六十八潜水艦） | [碧蓝航线:伊168](https://zh.moegirl.org/碧蓝航线:伊168) [舰队Collection:伊168](https://zh.moegirl.org/舰队Collection:伊168) |
| i-58 | 伊58 | 旧日本帝国海军的B3级潜艇“伊58”(伊号第五十八潜水艦) | [碧蓝航线:伊58](https://zh.moegirl.org/碧蓝航线:伊58) [舰队Collection:伊58](https://zh.moegirl.org/舰队Collection:伊58) |
| i-8 | 伊8 |  | [舰队Collection:伊8](https://zh.moegirl.org/舰队Collection:伊8) |
| yamato | 大和 |  | [舰队Collection:大和](https://zh.moegirl.org/舰队Collection:大和) |
| akigumo | 秋云 |  | [舰队Collection:秋云](https://zh.moegirl.org/舰队Collection:秋云) |
| yuugumo | 夕云 |  | [舰队Collection:夕云](https://zh.moegirl.org/舰队Collection:夕云) |
| makigumo | 卷云 |  | [舰队Collection:卷云](https://zh.moegirl.org/舰队Collection:卷云) |
| naganami | 长波 | 旧日本帝国海军的夕云级驱逐舰四号舰“长波” | [碧蓝航线:长波](https://zh.moegirl.org/碧蓝航线:长波) [舰队Collection:长波](https://zh.moegirl.org/舰队Collection:长波) |
| agano | 阿贺野 | 旧日本海军的阿贺野号巡洋舰(阿賀野(軽巡洋艦)) | [碧蓝航线:阿贺野](https://zh.moegirl.org/碧蓝航线:阿贺野) [舰队Collection:阿贺野](https://zh.moegirl.org/舰队Collection:阿贺野) |
| noshiro | 能代 | 旧日本海军的能代号巡洋舰 | [碧蓝航线:能代](https://zh.moegirl.org/碧蓝航线:能代) [舰队Collection:能代](https://zh.moegirl.org/舰队Collection:能代) |
| yahagi | 矢矧 |  | [舰队Collection:矢矧](https://zh.moegirl.org/舰队Collection:矢矧) |
| sakawa | 酒匂 |  | [舰队Collection:酒匂](https://zh.moegirl.org/舰队Collection:酒匂) |
| musashi | 武藏 |  | [舰队Collection:武藏](https://zh.moegirl.org/舰队Collection:武藏) |
| taihou | 大凤 | 旧日本帝国海军的装甲航空母舰大凤号(大鳳(空母)) | [碧蓝航线:大凤](https://zh.moegirl.org/碧蓝航线:大凤) [战舰少女:大凤](https://zh.moegirl.org/战舰少女:大凤) [舰队Collection:大凤](https://zh.moegirl.org/舰队Collection:大凤) |
| katori | 香取 |  | [战舰少女:香取](https://zh.moegirl.org/战舰少女:香取) [舰队Collection:香取](https://zh.moegirl.org/舰队Collection:香取) |
| i-401 | 伊401 |  | [舰队Collection:伊401](https://zh.moegirl.org/舰队Collection:伊401) |
| akitsu maru | 秋津丸 |  | [舰队Collection:秋津丸](https://zh.moegirl.org/舰队Collection:秋津丸) |
| yayoi | 弥生 |  | [舰队Collection:弥生](https://zh.moegirl.org/舰队Collection:弥生) |
| uzuki | 卯月 | 旧日本帝国海军的卯月号驱逐舰（卯月(睦月型駆逐艦)） | [碧蓝航线:卯月](https://zh.moegirl.org/碧蓝航线:卯月) [舰队Collection:卯月](https://zh.moegirl.org/舰队Collection:卯月) |
| isokaze | 矶风 | 旧日本帝国海军的矶风号驱逐舰（磯風(陽炎型駆逐艦)） | [碧蓝航线:矶风](https://zh.moegirl.org/碧蓝航线:矶风) [舰队Collection:矶风](https://zh.moegirl.org/舰队Collection:矶风) |
| urakaze | 浦风 | 旧日本帝国海军的浦风号驱逐舰（浦風(陽炎型駆逐艦)） | [碧蓝航线:浦风](https://zh.moegirl.org/碧蓝航线:浦风) [舰队Collection:浦风](https://zh.moegirl.org/舰队Collection:浦风) |
| tanikaze | 谷风 | 旧日本帝国海军的谷风号驱逐舰（谷風(陽炎型駆逐艦)） | [碧蓝航线:谷风](https://zh.moegirl.org/碧蓝航线:谷风) [舰队Collection:谷风](https://zh.moegirl.org/舰队Collection:谷风) |
| hamakaze | 滨风 | 旧日本帝国海军的浜风号驱逐舰（浜風(陽炎型駆逐艦)） | [碧蓝航线:滨风](https://zh.moegirl.org/碧蓝航线:滨风) [舰队Collection:滨风](https://zh.moegirl.org/舰队Collection:滨风) |
| bismarck | 俾斯麦 | 纳粹德国海军的俾斯麦号战列舰（German battleship Bismarck） | [碧蓝航线:俾斯麦](https://zh.moegirl.org/碧蓝航线:俾斯麦) [战舰少女:俾斯麦](https://zh.moegirl.org/战舰少女:俾斯麦) [舰队Collection:俾斯麦](https://zh.moegirl.org/舰队Collection:俾斯麦) |
| z1 | Z1 | 德国海军1934级Z1驱逐舰(Zerstörer Leberecht Maaß) | [碧蓝航线:Z1](https://zh.moegirl.org/碧蓝航线:Z1) [战舰少女:Z1](https://zh.moegirl.org/战舰少女:Z1) [舰队Collection:Z1](https://zh.moegirl.org/舰队Collection:Z1) |
| prinz eugen | 欧根亲王 | 德国海军希佩尔海军上将级重巡洋舰的3号舰欧根亲王（Prinz Eugen (Schiff, 1938)） | [碧蓝航线:欧根亲王](https://zh.moegirl.org/碧蓝航线:欧根亲王) [战舰少女:欧根亲王](https://zh.moegirl.org/战舰少女:欧根亲王) [舰队Collection:欧根亲王](https://zh.moegirl.org/舰队Collection:欧根亲王) |
| amatsukaze | 天津风 |  | [战舰少女:天津风](https://zh.moegirl.org/战舰少女:天津风) [舰队Collection:天津风](https://zh.moegirl.org/舰队Collection:天津风) |
| akashi | 明石 | 旧日本帝国海军的明石号维修舰（明石(工作艦)） | [碧蓝航线:明石](https://zh.moegirl.org/碧蓝航线:明石) [舰队Collection:明石](https://zh.moegirl.org/舰队Collection:明石) |
| ooyodo | 大淀 |  | [战舰少女:大淀](https://zh.moegirl.org/战舰少女:大淀) [舰队Collection:大淀](https://zh.moegirl.org/舰队Collection:大淀) |
| taigei | 大鲸 |  | [舰队Collection:大鲸](https://zh.moegirl.org/舰队Collection:大鲸) [舰队Collection:大鲸](https://zh.moegirl.org/舰队Collection:大鲸) |
| ryuuhou | 龙凤 | 旧日本帝国海军的龙凤号航空母舰（龙凤 (空母)）） | [碧蓝航线:龙凤](https://zh.moegirl.org/碧蓝航线:龙凤) [舰队Collection:龙凤](https://zh.moegirl.org/舰队Collection:龙凤) [舰队Collection:龙凤](https://zh.moegirl.org/舰队Collection:龙凤) |
| tokitsukaze | 时津风 |  | [舰队Collection:时津风](https://zh.moegirl.org/舰队Collection:时津风) |
| unryuu | 云龙 |  | [舰队Collection:云龙](https://zh.moegirl.org/舰队Collection:云龙) |
| amagi | 天城 | 日本帝国海军的天城级巡洋战列舰1号舰天城号（ 天城号） | [碧蓝航线:天城](https://zh.moegirl.org/碧蓝航线:天城) [舰队Collection:天城](https://zh.moegirl.org/舰队Collection:天城) |
|  | 葛城 |  | [舰队Collection:葛城](https://zh.moegirl.org/舰队Collection:葛城) |
| harusame | 春雨 |  | [舰队Collection:春雨](https://zh.moegirl.org/舰队Collection:春雨) |
| hayashimo | 早霜 |  | [舰队Collection:早霜](https://zh.moegirl.org/舰队Collection:早霜) |
| kiyoshimo | 清霜 |  | [舰队Collection:清霜](https://zh.moegirl.org/舰队Collection:清霜) |
| asagumo | 朝云 |  | [舰队Collection:朝云](https://zh.moegirl.org/舰队Collection:朝云) |
| yamagumo | 山云 |  | [舰队Collection:山云](https://zh.moegirl.org/舰队Collection:山云) |
| nowaki | 野分 | 旧日本帝国海军的阳炎级驱逐舰十五号舰“野分”（野分(陽炎型駆逐艦)） | [碧蓝航线:野分](https://zh.moegirl.org/碧蓝航线:野分) [舰队Collection:野分](https://zh.moegirl.org/舰队Collection:野分) |
| akizuki | 秋月 |  | [战舰少女:秋月](https://zh.moegirl.org/战舰少女:秋月) [舰队Collection:秋月](https://zh.moegirl.org/舰队Collection:秋月) |
| teruzuki | 照月 |  | [舰队Collection:照月](https://zh.moegirl.org/舰队Collection:照月) |
| hatsuzuki | 初月 |  | [战舰少女:初月](https://zh.moegirl.org/战舰少女:初月) [舰队Collection:初月](https://zh.moegirl.org/舰队Collection:初月) |
| takanami | 高波 |  | [舰队Collection:高波](https://zh.moegirl.org/舰队Collection:高波) |
| asashimo | 朝霜 |  | [舰队Collection:朝霜](https://zh.moegirl.org/舰队Collection:朝霜) |
| u-511 | U-511 |  | [舰队Collection:U-511](https://zh.moegirl.org/舰队Collection:U-511) |
| graf zeppelin | 齐柏林伯爵 | 纳粹德国海军的齐柏林伯爵号航空母舰（Graf Zeppelin(Schiff, 1938)） | [碧蓝航线:齐柏林伯爵](https://zh.moegirl.org/碧蓝航线:齐柏林伯爵) [战舰少女:齐柏林伯爵](https://zh.moegirl.org/战舰少女:齐柏林伯爵) [战舰少女:齐柏林伯爵](https://zh.moegirl.org/战舰少女:齐柏林伯爵) [舰队Collection:齐柏林伯爵](https://zh.moegirl.org/舰队Collection:齐柏林伯爵) |
| saratoga | 萨拉托加 | 美国海军列克星敦级航空母舰二号舰萨拉托加号（USS Saratoga CV-3）。 | [碧蓝航线:萨拉托加](https://zh.moegirl.org/碧蓝航线:萨拉托加) [战舰少女:萨拉托加](https://zh.moegirl.org/战舰少女:萨拉托加) [舰队Collection:萨拉托加](https://zh.moegirl.org/舰队Collection:萨拉托加) |
| ro-500 | 吕500 |  | [舰队Collection:吕500](https://zh.moegirl.org/舰队Collection:吕500) |
| warspite | 厌战 | 英国海军的厌战号战列舰（HMS Warspite (03)） | [碧蓝航线:厌战](https://zh.moegirl.org/碧蓝航线:厌战) [战舰少女:厌战](https://zh.moegirl.org/战舰少女:厌战) [舰队Collection:厌战](https://zh.moegirl.org/舰队Collection:厌战) |
| iowa | 衣阿华 |  | [战舰少女:衣阿华](https://zh.moegirl.org/战舰少女:衣阿华) [舰队Collection:衣阿华](https://zh.moegirl.org/舰队Collection:衣阿华) |
| littorio | 利托里奥 | 法西斯意大利海军维内托级战列舰（Italian battleship Littorio） | [碧蓝航线:利托里奥](https://zh.moegirl.org/碧蓝航线:利托里奥) [舰队Collection:利托里奥(意大利)](https://zh.moegirl.org/舰队Collection:利托里奥) |
| roma | 罗马 |  | [战舰少女:罗马](https://zh.moegirl.org/战舰少女:罗马) [舰队Collection:罗马](https://zh.moegirl.org/舰队Collection:罗马) |
| libeccio | 西南风 |  | [舰队Collection:西南风](https://zh.moegirl.org/舰队Collection:西南风) |
| aquila | 天鹰 |  | [战舰少女:天鹰](https://zh.moegirl.org/战舰少女:天鹰) [舰队Collection:天鹰](https://zh.moegirl.org/舰队Collection:天鹰) |
| akitsushima | 秋津洲 |  | [舰队Collection:秋津洲](https://zh.moegirl.org/舰队Collection:秋津洲) |
| zara | 扎拉 | 法西斯意大利海军扎拉级重巡洋舰一号舰扎拉号（Italian cruiser Zara） | [碧蓝航线:扎拉](https://zh.moegirl.org/碧蓝航线:扎拉) [战舰少女:扎拉](https://zh.moegirl.org/战舰少女:扎拉) [舰队Collection:扎拉](https://zh.moegirl.org/舰队Collection:扎拉) |
| pola | 波拉 |  | [舰队Collection:波拉](https://zh.moegirl.org/舰队Collection:波拉) |
| mizuho | 瑞穗 |  | [舰队Collection:瑞穗](https://zh.moegirl.org/舰队Collection:瑞穗) |
| okinami | 冲波 |  | [舰队Collection:冲波](https://zh.moegirl.org/舰队Collection:冲波) |
| kazagumo | 风云 |  | [舰队Collection:风云](https://zh.moegirl.org/舰队Collection:风云) |
| arashi | 岚 |  | [战舰少女:岚](https://zh.moegirl.org/战舰少女:岚) [舰队Collection:岚](https://zh.moegirl.org/舰队Collection:岚) |
| hagikaze | 萩风 |  | [舰队Collection:萩风](https://zh.moegirl.org/舰队Collection:萩风) |
| oyashio | 亲潮 | 旧日本帝国海军的亲潮号驱逐舰（親潮(駆逐艦)） | [碧蓝航线:亲潮](https://zh.moegirl.org/碧蓝航线:亲潮) [舰队Collection:亲潮](https://zh.moegirl.org/舰队Collection:亲潮) |
| yamakaze | 山风 |  | [舰队Collection:山风](https://zh.moegirl.org/舰队Collection:山风) |
| umikaze | 海风 |  | [舰队Collection:海风](https://zh.moegirl.org/舰队Collection:海风) |
| kawakaze | 江风 | 旧日本帝国海军的白露级驱逐舰9号舰（改白露级驱逐舰3号舰）“江风”（江風(駆逐艦)） | [碧蓝航线:江风](https://zh.moegirl.org/碧蓝航线:江风) [舰队Collection:江风](https://zh.moegirl.org/舰队Collection:江风) |
| hayasui | 速吸 |  | [舰队Collection:速吸](https://zh.moegirl.org/舰队Collection:速吸) |
| kashima | 鹿岛 |  | [舰队Collection:鹿岛](https://zh.moegirl.org/舰队Collection:鹿岛) |
| kamikaze | 神风 | 旧日本帝国海军的神风号驱逐舰（神風(2代神風型駆逐艦)） | [碧蓝航线:神风](https://zh.moegirl.org/碧蓝航线:神风) [舰队Collection:神风](https://zh.moegirl.org/舰队Collection:神风) |
| asakaze | 朝风 |  | [舰队Collection:朝风](https://zh.moegirl.org/舰队Collection:朝风) |
| harukaze | 春风 |  | [舰队Collection:春风](https://zh.moegirl.org/舰队Collection:春风) |
| matsukaze | 松风 | 旧日本帝国海军的松风号驱逐舰（松風(2代神風型駆逐艦)） | [碧蓝航线:松风](https://zh.moegirl.org/碧蓝航线:松风) [舰队Collection:松风](https://zh.moegirl.org/舰队Collection:松风) [舰队Collection:松](https://zh.moegirl.org/舰队Collection:松) |
| hatakaze | 旗风 | 旧日本帝国海军的旗风号驱逐舰（旗風(駆逐艦)） | [碧蓝航线:旗风](https://zh.moegirl.org/碧蓝航线:旗风) [舰队Collection:旗风](https://zh.moegirl.org/舰队Collection:旗风) |
| amagiri | 天雾 |  | [舰队Collection:天雾](https://zh.moegirl.org/舰队Collection:天雾) |
| sagiri | 狭雾 |  | [舰队Collection:狭雾](https://zh.moegirl.org/舰队Collection:狭雾) |
| minazuki | 水无月 | 旧日本帝国海军的水无月号驱逐舰（水無月(睦月型駆逐艦)） | [碧蓝航线:水无月](https://zh.moegirl.org/碧蓝航线:水无月) [舰队Collection:水无月](https://zh.moegirl.org/舰队Collection:水无月) |
| i-26 | 伊26 | 旧日本帝国海军的B3级潜艇“伊26”(伊号第二十六潜水艦) | [碧蓝航线:伊26](https://zh.moegirl.org/碧蓝航线:伊26) [舰队Collection:伊26](https://zh.moegirl.org/舰队Collection:伊26) |
| hamanami | 滨波 |  | [舰队Collection:滨波](https://zh.moegirl.org/舰队Collection:滨波) |
| fujinami | 藤波 |  | [舰队Collection:藤波](https://zh.moegirl.org/舰队Collection:藤波) |
| uranami | 浦波 | 旧日本帝国海军的特I型吹雪级驱逐舰十号舰“浦波”号（浦波(吹雪型駆逐艦)） | [碧蓝航线:浦波](https://zh.moegirl.org/碧蓝航线:浦波) [舰队Collection:浦波](https://zh.moegirl.org/舰队Collection:浦波) |
| commandant teste | 特斯特长官 |  | [舰队Collection:特斯特长官](https://zh.moegirl.org/舰队Collection:特斯特长官) |
| richelieu | 黎塞留 | 法国海军的黎塞留号战列舰 | [碧蓝航线:黎塞留](https://zh.moegirl.org/碧蓝航线:黎塞留) [战舰少女:黎塞留](https://zh.moegirl.org/战舰少女:黎塞留) [舰队Collection:黎塞留](https://zh.moegirl.org/舰队Collection:黎塞留) |
| i-400 | 伊400 |  | [舰队Collection:伊400](https://zh.moegirl.org/舰队Collection:伊400) |
| i-13 | 伊13 | 旧日本帝国海军的伊号第十三潜水舰（伊号第十三潜水艦） | [碧蓝航线:伊13](https://zh.moegirl.org/碧蓝航线:伊13) [舰队Collection:伊13](https://zh.moegirl.org/舰队Collection:伊13) |
| i-14 | 伊14 |  | [舰队Collection:伊14](https://zh.moegirl.org/舰队Collection:伊14) |
| gangut | 甘古特 | 苏联海军的甘古特号战列舰 | [碧蓝航线:甘古特](https://zh.moegirl.org/碧蓝航线:甘古特) [舰队Collection:甘古特(十月革命)](https://zh.moegirl.org/舰队Collection:甘古特) |
| tashkent | 塔什干 | 苏联海军的塔什干号驱逐舰(Tashkent) | [碧蓝航线:塔什干](https://zh.moegirl.org/碧蓝航线:塔什干) [战舰少女:塔什干](https://zh.moegirl.org/战舰少女:塔什干) [舰队Collection:塔什干](https://zh.moegirl.org/舰队Collection:塔什干) |
| ark royal | 皇家方舟 | 英国海军的皇家方舟号航空母舰（ HMS Ark Royal (91)） | [碧蓝航线:皇家方舟](https://zh.moegirl.org/碧蓝航线:皇家方舟) [战舰少女:皇家方舟](https://zh.moegirl.org/战舰少女:皇家方舟) [舰队Collection:皇家方舟](https://zh.moegirl.org/舰队Collection:皇家方舟) |
| shimusyu | 占守 |  | [舰队Collection:占守](https://zh.moegirl.org/舰队Collection:占守) |
| kunashiri | 国后 |  | [舰队Collection:国后](https://zh.moegirl.org/舰队Collection:国后) |
| jervis | 杰维斯 |  | [舰队Collection:杰维斯](https://zh.moegirl.org/舰队Collection:杰维斯) |
| suzutsuki | 凉月 |  | [战舰少女:凉月](https://zh.moegirl.org/战舰少女:凉月) [舰队Collection:凉月](https://zh.moegirl.org/舰队Collection:凉月) |
| etorofu | 择捉 |  | [舰队Collection:择捉](https://zh.moegirl.org/舰队Collection:择捉) |
| matsuwa | 松轮 |  | [舰队Collection:松轮](https://zh.moegirl.org/舰队Collection:松轮) |
| sado | 佐渡 |  | [舰队Collection:佐渡](https://zh.moegirl.org/舰队Collection:佐渡) |
| tsushima | 对马 |  | [舰队Collection:对马](https://zh.moegirl.org/舰队Collection:对马) |
| gambier bay | 甘比尔湾 |  | [舰队Collection:甘比尔湾](https://zh.moegirl.org/舰队Collection:甘比尔湾) |
| intrepid | 无畏 | 美国海军埃塞克斯级航空母舰三号舰无畏号（USS Intrepid(CV-11)） | [碧蓝航线:无畏](https://zh.moegirl.org/碧蓝航线:无畏) [舰队Collection:无畏](https://zh.moegirl.org/舰队Collection:无畏) |
| johnston | 约翰斯顿 |  | [战舰少女:约翰斯顿](https://zh.moegirl.org/战舰少女:约翰斯顿) [舰队Collection:约翰斯顿](https://zh.moegirl.org/舰队Collection:约翰斯顿) |
| maestrale | 西北风 |  | [舰队Collection:西北风](https://zh.moegirl.org/舰队Collection:西北风) |
| fletcher | 弗莱彻 | 美国海军弗莱彻级驱逐舰首舰弗莱彻（USS Fletcher DD-445） | [碧蓝航线:弗莱彻](https://zh.moegirl.org/碧蓝航线:弗莱彻) [战舰少女:弗莱彻](https://zh.moegirl.org/战舰少女:弗莱彻) [舰队Collection:弗莱彻](https://zh.moegirl.org/舰队Collection:弗莱彻) |
| unicorn | 独角兽 | 英国皇家海军独角兽号航母（HMS Unicorn(I72)） | [碧蓝航线:独角兽](https://zh.moegirl.org/碧蓝航线:独角兽) [战舰少女:独角兽](https://zh.moegirl.org/战舰少女:独角兽) |
| belfast | 贝尔法斯特 | 英国海军的贝尔法斯特号轻巡洋舰（ HMS Belfast (C35)） | [碧蓝航线:贝尔法斯特](https://zh.moegirl.org/碧蓝航线:贝尔法斯特) [战舰少女:贝尔法斯特](https://zh.moegirl.org/战舰少女:贝尔法斯特) |
| illustrious | 光辉 | 英国海军的光辉号装甲航空母舰（HMS Illustrious R.87） | [碧蓝航线:光辉](https://zh.moegirl.org/碧蓝航线:光辉) [战舰少女:光辉](https://zh.moegirl.org/战舰少女:光辉) |
| terror | 恐怖 | 英国海军的恐怖号浅水重炮舰（HMS Terror (I03)） | [碧蓝航线:恐怖](https://zh.moegirl.org/碧蓝航线:恐怖) |
| vampire | 吸血鬼 |  | [碧蓝航线:吸血鬼](https://zh.moegirl.org/碧蓝航线:吸血鬼) [战舰少女:吸血鬼](https://zh.moegirl.org/战舰少女:吸血鬼) [战舰少女:吸血鬼(派趣服)](https://zh.moegirl.org/战舰少女:吸血鬼%28派趣服%29) |
| laffey | 拉菲 | 美国海军本森级驱逐舰七号舰拉菲号（USS Laffey DD-459） | [碧蓝航线:拉菲](https://zh.moegirl.org/碧蓝航线:拉菲) [战舰少女:拉菲(DD-459)](https://zh.moegirl.org/战舰少女:拉菲%28DD-459%29) [战舰少女:拉菲(DD-724)](https://zh.moegirl.org/战舰少女:拉菲%28DD-724%29) |
| eldridge | 埃尔德里奇 | 美国海军坎农级护航驱逐舰埃尔德里奇号（USS Eldridge (DE-173)） | [碧蓝航线:埃尔德里奇](https://zh.moegirl.org/碧蓝航线:埃尔德里奇) [战舰少女:德里](https://zh.moegirl.org/战舰少女:德里) |
| prince of wales | 威尔士亲王 | 英国海军的威尔士亲王号战列舰（HMS Prince of Wales 53） | [碧蓝航线:威尔士亲王](https://zh.moegirl.org/碧蓝航线:威尔士亲王) [战舰少女:威尔士亲王](https://zh.moegirl.org/战舰少女:威尔士亲王) |
| sheffield | 谢菲尔德 | 英国海军的谢菲尔德号轻巡洋舰（HMS Sheffield (C24)）英国海军的谢菲尔德号轻巡洋舰（HMS Sheffield (C24)） | [碧蓝航线:谢菲尔德](https://zh.moegirl.org/碧蓝航线:谢菲尔德) [碧蓝航线:谢菲尔德%28μ兵装%29](https://zh.moegirl.org/碧蓝航线:谢菲尔德%28μ兵装%29) [战舰少女:谢菲尔德](https://zh.moegirl.org/战舰少女:谢菲尔德) |
| ping hai | 平海 | 中华民国海军的平海号轻巡洋舰(Ping Hai) | [碧蓝航线:平海](https://zh.moegirl.org/碧蓝航线:平海) [战舰少女:平海](https://zh.moegirl.org/战舰少女:平海) |
| ning hai | 宁海 | 中华民国海军的宁海号轻巡洋舰 | [碧蓝航线:宁海](https://zh.moegirl.org/碧蓝航线:宁海) [战舰少女:宁海](https://zh.moegirl.org/战舰少女:宁海) |
| formidable | 可畏 | 英国皇家海军的可畏号装甲航空母舰（HMS Formidable (67) | [碧蓝航线:可畏](https://zh.moegirl.org/碧蓝航线:可畏) [战舰少女:可畏](https://zh.moegirl.org/战舰少女:可畏) |
| admiral hipper | 希佩尔海军上将 | 纳粹德国海军的希佩尔海军上将号重巡洋舰（Admiral Hipper）纳粹德国海军的希佩尔海军上将号重巡洋舰（Admiral Hipper） | [碧蓝航线:希佩尔海军上将](https://zh.moegirl.org/碧蓝航线:希佩尔海军上将) [碧蓝航线:希佩尔海军上将%28μ兵装%29](https://zh.moegirl.org/碧蓝航线:希佩尔海军上将%28μ兵装%29) [战舰少女:希佩尔海军上将](https://zh.moegirl.org/战舰少女:希佩尔海军上将) |
| portland | 波特兰 | 美国海军波特兰级重巡洋舰首舰波特兰号（ USS Portland (CA-33)） | [碧蓝航线:波特兰](https://zh.moegirl.org/碧蓝航线:波特兰) [战舰少女:波特兰](https://zh.moegirl.org/战舰少女:波特兰) [战舰少女:波特](https://zh.moegirl.org/战舰少女:波特) |
| cygnet | 小天鹅 | 英国海军的小天鹅号驱逐舰（ HMS Cygnet (H83)） | [碧蓝航线:小天鹅](https://zh.moegirl.org/碧蓝航线:小天鹅) |
| kent | 肯特 | 英国皇家海军肯特号重巡洋舰（ HMS Kent(54)） | [碧蓝航线:肯特](https://zh.moegirl.org/碧蓝航线:肯特) [战舰少女:肯特](https://zh.moegirl.org/战舰少女:肯特) |
| hammann | 哈曼 |  | [碧蓝航线:哈曼](https://zh.moegirl.org/碧蓝航线:哈曼) [战舰少女:哈曼](https://zh.moegirl.org/战舰少女:哈曼) |
| mikasa | 三笠 | 旧日本帝国海军的三笠号战列舰（三笠(戦艦)） | [碧蓝航线:三笠](https://zh.moegirl.org/碧蓝航线:三笠) |
| st. louis | 圣路易斯 | 美国海军布鲁克林级轻巡洋舰八号舰圣路易斯号（USS St. Louis CL-49) | [碧蓝航线:圣路易斯](https://zh.moegirl.org/碧蓝航线:圣路易斯) [战舰少女:圣路易斯](https://zh.moegirl.org/战舰少女:圣路易斯) |
| san diego | 圣地亚哥 | 美国海军亚特兰大级轻巡洋舰三号舰圣地亚哥号（USS San Diego CL-53） | [碧蓝航线:圣地亚哥](https://zh.moegirl.org/碧蓝航线:圣地亚哥) [战舰少女:圣地亚哥](https://zh.moegirl.org/战舰少女:圣地亚哥) |
| long island | 长岛 | 名称由来是位于北美洲东海岸边的一个狭长的半岛，属于美国纽约州 | [碧蓝航线:长岛](https://zh.moegirl.org/碧蓝航线:长岛) |
| javelin | 标枪 | 英国皇家海军的标枪号驱逐舰（HMS Javelin (F61)） | [碧蓝航线:标枪](https://zh.moegirl.org/碧蓝航线:标枪) [战舰少女:标枪](https://zh.moegirl.org/战舰少女:标枪) |
| nelson | 纳尔逊 | 英国海军的纳尔逊号战列舰（ HMS Nelson (28)） | [碧蓝航线:纳尔逊](https://zh.moegirl.org/碧蓝航线:纳尔逊) [战舰少女:纳尔逊](https://zh.moegirl.org/战舰少女:纳尔逊) [舰队Collection:纳尔逊](https://zh.moegirl.org/舰队Collection:纳尔逊) |
| rodney | 罗德尼 | 英国海军的罗德尼号战列舰（ HMS Rodney (29)） | [碧蓝航线:罗德尼](https://zh.moegirl.org/碧蓝航线:罗德尼) [战舰少女:罗德尼](https://zh.moegirl.org/战舰少女:罗德尼) |
| enterprise | 企业 | 美国海军约克城级航空母舰二号舰企业号（ USS Enterprise (CV-6)） | [碧蓝航线:企业](https://zh.moegirl.org/碧蓝航线:企业) [战舰少女:企业](https://zh.moegirl.org/战舰少女:企业) |
| queen elizabeth | 伊丽莎白女王 | 英国海军的伊丽莎白女王号战列舰（HMS Queen Elizabeth (1913)） | [碧蓝航线:伊丽莎白女王](https://zh.moegirl.org/碧蓝航线:伊丽莎白女王) [战舰少女:伊丽莎白女王](https://zh.moegirl.org/战舰少女:伊丽莎白女王) |
