| 原始标签 | 名称 | 描述 | 外部链接 |
| aho-girl | 笨女孩 | 《笨女孩》（日语：アホガール）是自称清纯派所作的日本漫画。于2012年11月28日发售的《周刊少年Magazine》2012年52号开始连载直到2015年12号，现在连载于别册少年Magazine上，刊载的作品是四格漫画的形式。本作是描写冷酷高中生阿久津明与笨蛋女高中生花畑佳子的学校日常生活的搞笑喜剧作品。电视动画于2017年7月4日起由东京都会电视台、AT-X等电视台播出。 | [维基百科](https://zh.wikipedia.org/zh-cn/單蠢女孩) (\*) |
| azur lane | 碧蓝航线 | 《碧蓝航线》是一款由bilibili代理的战舰拟人即时海战手游。于2017年6月2日开始全平台公测。 | [萌娘百科](https://zh.moegirl.org/碧蓝航线) (\*\*) |
| isekai shokudou | 异世界食堂 | 《异世界食堂》（異世界食堂），日本轻小说作家犬冢惇平的轻小说作品，发表于小说投稿网站成为小说家吧的网络连载小说。由主妇之友社出版，插画为榎波克己（エナミカツミ）。2016年9月28日宣布动画化，于2017年7月3日起由东京电视台、AT-X等电视台播放。台湾中文版由四季出版发行。 | [维基百科](https://zh.wikipedia.org/zh-cn/異世界食堂) (\*) |
| baccano | 永生之酒 | 《永生之酒》（バッカーノ!，Baccano!）是由成田良悟创作的一部轻小说，并有漫画、动画、游戏等衍生作品。 | [萌娘百科](https://zh.moegirl.org/永生之酒) (\*\*) |
| berserk | 剑风传奇 | 《剑风传奇》（日语：ベルセルク，英语：Berserk）是日本漫画家三浦建太郎所作的奇幻漫画，现时在白泉社出版的双周刊杂志《YOUNG ANIMAL》不定期连载中。 | [维基百科](https://zh.wikipedia.org/zh-cn/烙印勇士) (\*) |
| isekai wa smartphone to tomo ni. | 带着智能手机闯荡异世界。 | 《带着智能手机闯荡异世界。》是冬原パトラ所作的日本轻小说作品，2013年4月开始投稿网站《成为小说家吧》连载的网络小说（作者曾在实体小说第一集后记中透漏，小说内容都是用同一支智能手机完成的，未经过电脑）。2015年3月31日决定经由HJ NOVELS出版实体书，插图由兔冢英志绘画。 | [维基百科](https://zh.wikipedia.org/zh-cn/帶著智慧型手機闖蕩異世界。) (\*) |
| atelier tanaka | 田中是年龄=没女朋友的魔法师 |  | [百度贴吧](https://tieba.baidu.com/f?kw=田中的工作室) |
| servant x service | 跟班×服务 | 《跟班×服务》（日语：サーバント×サービス，英语：SERVANT×SERVICE，香港译作“爆趣乡公所”，台湾译作“迷糊公务员 SERVANT×SERVICE”）是高津Karino的日本漫画作品。 | [维基百科](https://zh.wikipedia.org/zh-cn/Servant_x_Service) (\*) |
| bakuon | 爆音少女！！ | 《爆音少女！！》（日语：ばくおん!!），是日本漫画家织本任那的机车题材漫画作品，自2011年开始于秋田书店的漫画杂志《月刊Young Champion烈》连载。电视动画于2016年4月开始播放至同年6月，全12话。 | [维基百科](https://zh.wikipedia.org/zh-cn/爆音少女！！) (\*) |
| inou-battle wa nichijou-kei no naka de | 日常系的异能战斗 | 《日常系的异能战斗》（日语：異能バトルは日常系のなかで）是由望公太著作，029绘制插画，SB Creative的GA文库所发行的日本轻小说作品。2013年5月广播剧CD化，同年7月漫画化，漫画版由黑濑浩介作画。2014年3月宣布改编成电视动画，由TRIGGER制作，于2014年10月6日起东京电视台等播出。 | [维基百科](https://zh.wikipedia.org/zh-cn/日常生活中的異能戰鬥) (\*) |
| denkigai no honya-san | 电器街的漫画店 | 《电器街的漫画店》（日语：デンキ街の本屋さん）是水安里的日本漫画作品，于Media Factory漫画杂志《月刊Comic Flapper》2011年7月号开始连载。台湾中文版由长鸿出版社代理发行。2014年5月发表电视动画化消息，电视动画于同年10月播放。 | [维基百科](https://zh.wikipedia.org/zh-cn/電器街的漫畫店) (\*) |
| bladedance of elementalers | 精灵使的剑舞 | 《精灵使的剑舞》（日语：精霊使いの剣舞）是一部由志瑞祐创作的轻小说，插画由樱半片负责，由于原画师身体健康欠佳的缘故，2015年5月8日宣布改由仁村有志负责插画。 | [维基百科](https://zh.wikipedia.org/wiki/精灵使的剑舞) (\*) |
| da capo | 初音岛 | 《初音岛》（日语原名：D.C. ～ダ・カーポ～，简称D.C.）是于2002年6月28日由日本美少女游戏品牌CIRCUS制作发行的恋爱冒险游戏。电子游戏同时有电脑版（又分为成人和全年龄版）和PS2版（PS2版为全年龄版本），另外还有漫画与动画系列的发行。。本作的续作为初音岛II、初音岛Girl's Symphony、初音岛III，亦由CIRCUS制作发行。D.C.为da capo的缩写，是意大利文的“返始”之意，也是乐谱常用的记号之一。 | [维基百科](https://zh.wikipedia.org/zh-cn/初音島) (\*) |
| da capo ii | 初音岛II | 《初音岛II》（日语原名：D.C.II ～ダ・カーポII～，简称D.C.II）是由日本美少女游戏品牌CIRCUS制作和发行的恋爱冒险游戏，是《初音岛》的续作。《初音岛II》的首个游戏版本为电脑版成人游戏，于2006年5月26日推出。并多媒体发展而有漫画、小说、动画和家用游戏机版等多种版本。 | [维基百科](https://zh.wikipedia.org/zh-cn/初音島II) (\*) |
| da capo iii | 初音岛III | 《初音岛III》（日语原名：D.C.III ～ダ・カーポIII～，简称D.C.III）是一只由日本美少女游戏品牌CIRCUS制作和发行的恋爱冒险游戏，是《初音岛》系列的续作。全年龄版本于2012年4月27日发售。7月7日在TOKYO MX电视台播出的特别节目“初音岛3”中宣布TV动画化，并于2013年1月开始播放。18禁版本《R x-rated》原定2013年4月26日发售，改为5月31日发售。 | [维基百科](https://zh.wikipedia.org/zh-cn/初音島III) (\*) |
| tejina senpai | 魔术前辈 |  |  |
| valkyrie no bouken | 女武士大冒险 | 《女武士大冒险 时之钥传说》（日语：ワルキューレの冒険 時の鍵伝説）是一款由南梦宫公司制作和发行的游戏。本游戏于1986年8月1日在FC游戏机上发行。此外，本游戏后于2007年3月20日在Wii Virtual Console上发行，于2013年9月4日在Nintendo 3DS Virtual Console上再版发行，2015年在Wii U Virtual Console再版。 | [维基百科](https://zh.wikipedia.org/zh-cn/女武士大冒险_时之钥传说) (\*) |
| mugen senshi valis | 梦幻战士 | 《梦幻战士》（日版名：夢幻戦士ヴァリス，英文版名：Valis: The Fantasm Soldier）为日本通信网络于1986年发行的发行的横向卷轴动作游戏，是梦幻战士系列的第一作。游戏后移植到多个平台。开发团队是子公司狼组，原案及人物设计者是PiXEL。 | [维基百科](https://zh.wikipedia.org/zh-cn/夢幻戰士) (\*) |
| dream hunter rem | 梦猎人丽梦 |  |  |
| made in abyss | 来自深渊 | 《来自深渊》（日语：メイドインアビス，英语：MADE IN ABYSS）是奇幻题材的日本漫画作品，由つくしあきひと创作，并于竹书房旗下漫画网站《WEBコミックガンマ》上刊载。 | [维基百科](https://zh.wikipedia.org/zh-cn/來自深淵_%28漫畫%29) (\*) |
| wonder momo | 神奇桃子 |  |  |
| hero bank | 英雄银行 |  | [维基百科（英语）](https://en.wikipedia.org/wiki/Hero_Bank) |
| monsuno | 兽旋战斗 | 《兽旋战斗》（日语：獣旋バトル モンスーノ）是万代推出的玩具，其后改编成电视动画，由日美合力制作，并于2012年2月首先在美国播放，动画全52话。 | [维基百科](https://zh.wikipedia.org/zh-cn/能量獸之戰獸旋戰鬥) (\*) |
| tengai makyou | 天外魔境 | 天外魔境（日版名：天外魔境，英文版名：Far East of Eden）是由广井王子创作，Hudson Soft和Red Entertainment，并由前者发行的电子游戏系列。首作《天外魔境 Ziria》游戏史上第一个以CD-ROM为媒介的RPG游戏，于1989年6月30日发售。采用浓厚的和风，并由阪本龙一配乐。 | [维基百科](https://zh.wikipedia.org/zh-hans/天外魔境系列) (\*) |
| wingman | 银翼超人 |  | [维基百科（英语）](https://en.wikipedia.org/wiki/Wing-Man) |
| fight ippatsu juuden-chan | 魔力充电娘 | 《魔力充电娘》（ファイト一発!充電ちゃん）是ぢたま(某)的漫画作品，在Comic Gum2006年1月号到2013年12月号期间连载。单行本由WANI BOOKS发售共10册，中文版由尖端出版代理发售。2009年播放电视动画共12集。 | [维基百科](https://zh.wikipedia.org/zh-cn/魔力充電娘) (\*) |
| needless | 超能力大战 | 《超能力大战》（NEEDLESS）是今井神的基督教末世论题材漫画作品，并改编为同名电视动画。2003年起在集英社的Ultra Jump杂志上开始正式连载（不定期刊登的NEEDLESS ZERO早在2001年），至2013年六月号第一部完结，全16册，外传2册，相似世界观的姐妹作Black spot全2册。未有消息将续作下去。 | [维基百科](https://zh.wikipedia.org/zh-cn/超能力大戰) (\*) |
| the sacred blacksmith | 圣剑锻造师 | 《圣剑锻造师》（聖剣の刀鍛冶，The Sacred Blacksmith）是三浦勇雄的轻小说作品，屡那担任插画。MF文库J（Media Factory）出版；繁体中文版由东立出版社代理出版；简体中文版由天闻角川代理发行，湖南美术出版社出版。目前漫画版由山田孝太郎执笔，在《月刊Comic Alive》上连载中，尖端出版代理中文版。电视动画于2009年10月3日播出。 | [维基百科](https://zh.wikipedia.org/zh-cn/聖劍鍛造師) (\*) |
| kampfer | 肯普法 | 《肯普法》（日语：けんぷファー；英语／德语：Kämpfer(源自德语中"战士"一词)）是筑地俊彦撰写，Senmu绘插画的轻小说作品，由Media Factory的MF文库J出版发行，中文版由尖端出版社代理发行。2008年2月27日开始在月刊Comic Alive上连载由橘由宇改编的漫画。2009年10月在TBS系播放电视动画。特别篇“肯普法 为了爱”（けんぷファー für die Liebe）于2011年4月7日在TBS系播放。 | [维基百科](https://zh.wikipedia.org/zh-cn/肯普法) (\*) |
| onmyoji | 阴阳师 | 《阴阳师》是网易2016年推出的手机卡牌游戏，对应Android和iOS平台。 | [维基百科](https://zh.wikipedia.org/zh-cn/阴阳师_%28游戏%29) (\*) |
| brynhildr in the darkness | 极黑的布伦希尔特 | 《极黑的布伦希尔特》（日语：極黒のブリュンヒルデ）是日本漫画家冈本伦所创作的青年漫画，从《周刊YOUNG JUMP》2012年9号至2016年18号连载。截至2016年5月，已出版18本单行本完结，18本中文版单行本由青文出版社代理发行。 | [维基百科](https://zh.wikipedia.org/zh-cn/極黑的布倫希爾德) (\*) |
| super real mahjong | 超真实麻将 |  |  |
| journey to the west | 西游记 |  |  |
| busou renkin | 武装炼金 | 《武装炼金》是日本漫画家和月伸宏的作品，剧情协力为黑崎薫，2006年改编为电视动画。 | [维基百科](https://zh.wikipedia.org/zh-cn/武裝鍊金) (\*) |
| jigoku shoujo | 地狱少女 | 《地狱少女》是日本动画以及由此改编的漫画及电视剧。动画于2005年10月4日开始播出，全26集，具有神秘恐怖风格。其漫画则同时在讲谈社月刊《Nakayoshi（なかよし）》上连载，作者为永远幸。 | [维基百科](https://zh.wikipedia.org/zh-cn/地狱少女) (\*) |
| midori no hibi | 美鸟的日记 | 《美鸟的日记》（美鸟の日々）是日本漫画家井上和郎的漫画作品。连载于小学馆《周刊少年Sunday》2002年42号到2004年34号。单行本共八集，中文版由东立出版社代理发售。2004年改编为电视动画播放共13集，2005年台湾曾在纬来电视网播放中文配音版。 | [维基百科](https://zh.wikipedia.org/zh-cn/美鳥的日記) (\*) |
| seirei no moribito | 精灵守护者 | 守护者系列（守り人シリーズ）是上桥菜穗子异世界幻想小说的系列作品。加上旅人系列（旅人シリーズ）全套10集。2006年8月，“守护者系列”第一部《精灵守护者》（精霊の守り人）的广播剧在NHK-FM的“青春冒险”（青春アドベンチャー）开始放送。其中《精灵守护者》由Production I.G改编成电视动画，于2007年4月7日～9月29日在日本NHK-BS2播出，共26话。获选为2007年第十一回日本文部省文化厅媒体艺术祭动画部门推荐的作品。 | [维基百科](https://zh.wikipedia.org/zh-cn/守護者系列) (\*) |
| air gear | 飞轮少年 | 《飞轮少年》作者为大暮维人，是一部定位在青春热血的漫画作品。 | [维基百科](https://zh.wikipedia.org/zh-cn/飛輪少年) (\*) |
| bamboo blade | 竹刀少女 | 《BAMBOO BLADE》是土冢理弘原作、五十岚あぐり作画的以剑道为题材的日本漫画作品。从2004年12月3日在杂志YOUNG GANGAN上（创刊号）连载，于2010年9月17日（Vol.18）完结。台湾中文版由尚禾出版社代理。于2007年10月改编为电视动画并开始播放，于2008年3月播放完毕。而香港有线电视儿童台由2009年7月6日起播映。 | [维基百科](https://zh.wikipedia.org/zh-cn/BAMBOO_BLADE) (\*) |
| dance in the vampire bund | 吸血鬼同盟 | 《吸血鬼同盟》（日语：ダンス イン ザ ヴァンパイアバンド；英语：Dance In The Vampire Bund）是环望的日本漫画作品，于2006年开始连载。于2010年1月改编为电视动画播放。 | [维基百科](https://zh.wikipedia.org/zh-cn/吸血鬼同盟) (\*) |
| freezing | 结界女王 | 《结界女王》（日语：フリージング），是韩国作家林达永原作、韩国漫画家金光铉担任作画的日本漫画，在Kill Time Communication（KTC）的漫画杂志《Comic Valkyrie》上进行连载，并改编成电视动画。 | [维基百科](https://zh.wikipedia.org/zh-cn/結界女王) (\*) |
| omamori himari | 守护猫娘绯鞠 | 《守护猫娘绯鞠》(おまもりひまり，Omamori Himari)是日本漫画家的良米兰的漫画作品，并有同名动画等衍生作品。 | [维基百科](https://zh.wikipedia.org/zh-cn/守護貓娘緋鞠) [萌娘百科](https://zh.moegirl.org/守护猫娘绯鞠) (\*\*) |
| shinkyoku soukai polyphonica | 神曲奏界Polyphonica | 《神曲奏界》（日语：神曲奏界ポリフォニカ）是以但丁的《神曲》为架空背景所衍生出的电子小说、轻小说、动画及漫画。 | [维基百科](https://zh.wikipedia.org/zh-cn/神曲奏界) (\*) |
| tenjou tenge | 天上天下 | 《天上天下》是日本漫画家大暮维人的代表作品，此作品是大暮维人从成人漫画转型至青年漫画的首部作品，由于设定复杂而丰富，人物形象吸引，因而备受欢迎。于《Ultra Jump》1998年第11号至2010年第9号连载，2004年动画化，在朝日电视台播放，香港有线娱乐台亦于2005年播放，台湾则在东森戏剧台播放。 | [维基百科](https://zh.wikipedia.org/zh-cn/天上天下) (\*) |
| unbalance x unbalance | 萌道鲜师 | 《萌道鲜师（언밸런스×2）》是由韩国的林达永原作、李秀显作画的漫画作品。 | [维基百科（英语）](https://en.wikipedia.org/wiki/Unbalance_Unbalance) |
| ange vierge | 圣洁天使 | 《圣洁天使》（日语：アンジュ・ヴィエルジュ，法语：Ange Vierge），是富士见书房开发再由Media Factory在2013年10月4日发售的交换卡片游戏，台湾元美国际映像代理译为“圣洁天使”，大陆天闻角川则采法文“Ange Vierge”。改编同名电视动画于2016年7月播放。 | [维基百科](https://zh.wikipedia.org/zh-cn/聖潔天使) (\*) |
| blend s | 调教咖啡厅 | 《调教咖啡厅》（日语：ブレンド・S）是日本漫画家中山幸的四格漫画作品，于芳文社杂志《Manga Time Kirara Carat》2014年3月号开始连载。已出版4册，台湾尖端出版已出版3册。2016年12月27日在《Manga Time Kirara Carat》宣布推出电视动画，2017年10月7日起于东京都会电视台、AT-X、日本BS放送等电视台播出。 | [维基百科](https://zh.wikipedia.org/zh-cn/調教咖啡廳) (\*) |
| command and conquer | 命令与征服 | 命令与征服（英语：Command & Conquer，简称CNC或C&C）是由美国Westwood工作室为PC发行的一系列即时战略游戏及三款第一人称射击游戏。艺电收购Westwood工作室之后，将本系列扩张成数个系列的共同商标，目前此系列游戏由模拟人生工作室所开发。本系列游戏是史上最畅销的即时战略游戏季系列，系列下的游戏总发行量超过3500万套。 | [维基百科](https://zh.wikipedia.org/zh-cn/終極動員令系列) (\*) |
| uninhabited planet survive | 星球流浪记 | 《星球流浪记》，日文原名《無人惑星サヴァイヴ》，是一部日本电视动画，共52集，自2003年10月16日至2004年10月28日在NHK教育电视台首播。 | [维基百科](https://zh.wikipedia.org/zh-cn/星球流浪記) (\*) |
| fatal fury | 饿狼传说 | 饿狼传说（日语：餓狼伝説，英语：Fatal Fury）是1991年SNK发售的一款2D对战格斗游戏，以及此后的同系列对战格斗游戏。 | [维基百科](https://zh.wikipedia.org/zh-cn/饿狼传说系列) (\*) |
| princess crown | 公主王冠 |  | [维基百科（英语）](https://en.wikipedia.org/wiki/Princess_Crown) |
| burst angel | 爆裂天使 | 《爆裂天使》是日本动画公司GONZO的一部原创电视动画。2004年4月到9月在朝日电视台播出。全24话（共12卷）。2007年3月发行OVA。台湾单行本由东立出版社代理发行，全3册，动画由木棉花国际代理发行。 | [维基百科](https://zh.wikipedia.org/zh-cn/爆裂天使) (\*) |
| k | K | 《K》，是名为“GoRA”的七名作家团体原著、动画公司GoHands制作的原创电视动画。2012年10月4日开始播放。 | [维基百科](https://zh.wikipedia.org/zh-cn/K_%28動畫%29) (\*) |
| prince of tennis | 网球王子 | 《网球王子》（日文：テニスの王子様）是日本的漫画，原作者为许斐刚。同作品曾被改编成动画、舞台剧、电影及电视游戏以及中国大陆真人电视剧。其漫画在《Jump Square》公布新一辑“新网球王子”会于2009年4月号开始连载，之前完结的只是“网球王子系列”的序章。 | [维基百科](https://zh.wikipedia.org/zh-cn/网球王子) (\*) |
| lord of lords ryu knight | 霸王大系龙骑士 | 《霸王大系龙骑士（霸王大系リューナイト）》，是Sunrise制作并于1994年4月5日到1995年3月28日在东京电视台播放的日本电视动画，全部共52集。之后在1994年至1996年推出了三部OVA，分别为《霸王大系リューナイト アデュー・レジェンド》、《霸王大系リューナイト アデュー・レジェンドII》、《霸王大系リューナイト アデュー・レジェンド・ファイナル》。 | [维基百科](https://zh.wikipedia.org/zh-cn/霸王大系龍騎士) (\*) |
| tonde buurin | 飞天少女猪 | 飞天少女猪（日语：とんでぶーりん）是池田多惠子的漫画作品，小学馆发行。 | [维基百科](https://zh.wikipedia.org/zh-cn/飛天少女豬) (\*) |
| nano core | 纳米核心 | 《纳米核心》是一部由心动游戏投资，海岸线动画工作室制作的科幻冒险题材网络动画，是心动游戏投资的首部全3D动画。计划中该系列一共会有三季，每季10集，官方网站亦于2013年6月20日上线。故事舞台设在一个完全架空的星球——元星（英语：Birthigin），并围绕着各方阵营的人类以及“亚人”之间的矛盾与争斗展开。第二季在2016年4月8日于乐视动漫独家播出。第三季于2017年8月播出。 | [维基百科](https://zh.wikipedia.org/zh-hans/纳米核心) (\*) |
| elsword | 艾尔之光 | 《艾尔之光》（韩语：엘소드，英语：Elsword）是韩国游戏公司KOG Studios研发的一款奇幻历险大型多人在线角色扮演游戏，主打赛璐璐风格横向卷轴的动作游戏，同时也是《永恒冒险》的重制版及姊妹作。 | [维基百科](https://zh.wikipedia.org/zh-cn/艾爾之光) (\*) |
| betterman | 进化战记 | 《进化战记》（ベターマン，BETTERMAN）是1999年4月1日至9月30日期间由东京电视台系列播放的电视动画作品，共26话。 | [维基百科](https://zh.wikipedia.org/zh-cn/进化战记) (\*) |
| tenshi ni narumon | 天使不设防！ | 《天使不设防！》（天使になるもんっ!）是日本电视动画，于1999年播出共26话，监督为锦织博。漫画全2集，原作为HEAVEN PROJECT，漫画由大野哲也所作，角川书店1999年出版。 | [维基百科](https://zh.wikipedia.org/zh-cn/天使不設防！) (\*) |
| makai tenshi jibril | 魔界天使吉普莉露 |  | [维基百科（日语）](https://ja.wikipedia.org/wiki/魔界天使ジブリール) |
| kamen no maid guy | 假面男仆 | 《假面男仆》是赤衣丸步郎的漫画作品。自2004年在富士见书房《月刊Dragon Age》上连载以来，系列累积销售突破110万本。台湾是由长鸿出版社代理发售繁体中文版。2008年4月5日开始播放电视动画共12话。 | [维基百科](https://zh.wikipedia.org/zh-cn/假面男僕) (\*) |
| etrian odyssey | 世界树的迷宫 | 《世界树的迷宫》是ATLUS将于2007年1月18日发售的NDS用3D迷宫RPG游戏。此次公开的情报是介绍能让玩家用自己的手来绘制地图的制图系统。NDS便利的机能使得通过制图系统绘制出来的迷宫充满乐趣及挑战！ |  |
| in search of the lost future | 寻找失去的未来 | 《寻找失去的未来》（日语原名：失われた未来を求めて，简称：われめて，法语：À la recherche du futur perdu）是由日本游戏公司TRUMPLE于2010年11月26日发售的Windows用十八禁恋爱冒险游戏。标题来自法国作家马塞尔·普鲁斯特的作品《追忆似水年华》。本作改编的2部漫画各连载于《月刊Comp Ace》和《月刊Comic Alive》上。由细田直人担任导演的电视动画于2014年10月4日起在AT-X、TOKYO MX等日本电视台播出。 | [维基百科](https://zh.wikipedia.org/zh-cn/尋找失去的未來) (\*) |
| art of fighting | 龙虎之拳 | 龙虎之拳（英语：Art of Fighting）是SNK于1992年推出的2D对战格斗游戏，以及此后的同系列对战格斗游戏。 | [维基百科](https://zh.wikipedia.org/zh-cn/龍虎之拳) (\*) |
| burning force | 燃烧战队 |  | [维基百科（日语）](https://ja.wikipedia.org/wiki/バーニングフォース) |
| golden axe | 战斧 |  | [维基百科（英语）](https://en.wikipedia.org/wiki/Golden_Axe) |
| popful mail | 啵咕物语 | ぽっぷるメイル，英文名：Popful Mail，又名啵咕物语、国内译名：美少女剑士梅尔。是FALCOM古早时期著名的横版ARPG游戏，素质优良，机种繁多，最初平台为PC88，是法老控迷必备的入门游戏。 | [维基百科（日语）](https://ja.wikipedia.org/wiki/ぽっぷるメイル) |
| the wing of madoola | 玛多拉之翼 | 《玛多拉之翼》（日语：マドゥーラの翼）是一款由Sun电子制作和发行的动作冒险游戏。本游戏于1986年12月18日在日本地区FC游戏机发行。 | [维基百科](https://zh.wikipedia.org/zh-cn/玛多拉之翼) (\*) |
| gakusen toshi asterisk | 学战都市Asterisk | 《学战都市Asterisk》（日语：学戦都市アスタリスク）是三屋咲悠撰写，okiura绘制插画的日本轻小说，MF文库J（Media Factory）出版。繁体中文版由尖端出版代理，译者陈冠安；简体中文版预定由天闻角川代理发行，湖南美术出版社出版。目前日本已推出至第十一卷。2015年10月至12月首播电视动画。 | [维基百科](https://zh.wikipedia.org/zh-cn/學戰都市Asterisk) (\*) |
| tokyo ghoul | 东京食尸鬼 | 《东京食尸鬼》（東京喰種トーキョーグール，Tokyo Ghoul）是日本漫画家石田翠的青年漫画作品，刊载于集英社旗下漫画杂志《周刊Young Jump》。单行本标题为“东京食尸鬼 Tokyo Ghoul”（日版名：東京喰種トーキョーグール）。台湾中文版由尖端出版代理，香港中文版由玉皇朝代理。 | [维基百科](https://zh.wikipedia.org/zh-cn/東京喰種) (\*) |
| doki doki literature club | 心动文学俱乐部！ | 《心动文学俱乐部！》（英语：Doki Doki Literature Club!，港台译作“心跳文学部！”，台湾又译作“心跳文艺部”、“心跳文艺社”），简称《DDLC》，是Team Salvato在2017年9月22日发表在Microsoft Windows、Linux和macOS上的独立游戏，后来于2017年10月6日登陆游戏平台Steam。 | [维基百科](https://zh.wikipedia.org/zh-cn/心跳文學部！) [Steam](http://store.steampowered.com/app/698780) (\*) |
| regalia the three sacred stars | 雷加利亚三圣星 | 《雷加利亚三圣星》是永谷敬之担任制作人，QP:flapper担当角色原案，Actas制作的原创动画，电视动画于2016年7月7日开始播出。 | [维基百科](https://zh.wikipedia.org/zh-cn/Regalia_三聖星) (\*) |
| kaze no densetsu xanadu | 风之传说XANADU |  | [维基百科（日语）](https://ja.wikipedia.org/wiki/風の伝説ザナドゥ) |
| tower of druaga | 迷宫塔 | 《迷宫塔》（ドルアーガの塔；又译龙之塔或德鲁亚加之塔）是Namco（现为Bandai Namco Games）于1984年6月发售的动作角色扮演街机游戏，以及其游戏舞台的塔名。英语名称为“The Tower of Druaga”。本游戏与Dragon Slayer系列（Dragon Slayer）被认为是最早的动作角色扮演游戏。 | [维基百科](https://zh.wikipedia.org/zh-cn/迷宮塔) (\*) |
| valkyrie profile | 北欧女神 | 《女神侧身像》（日语：ヴァルキリープロファイル，英语：Valkyrie Profile，香港译作“女神侧身像”，台湾译作“女神战记”）是日本tri-Ace游戏开发公司制作，SQUARE ENIX（原ENIX）游戏公司发行的一个游戏系列。最早于1999年在PlayStation上发行。游戏情节以北欧神话为蓝本，独特的神话风格与游戏模式而一度受到广大游戏爱好者的好评。 | [维基百科](https://zh.wikipedia.org/zh-cn/女神側身像) (\*) |
| serial experiments lain | 玲音 | 《玲音》（Serial Experiments Lain）是一部试验性动画，于1998年7月6日至9月28日在东京电视台的深夜时段播映，共13集。讲述了一个身处日本的14岁女孩岩仓玲音，以及如何受父亲影响，接触，进而发现了“连线”（Wired，一个国际性计算机网络）之中隐藏的巨大秘密，和自己的神秘身世的故事。原创编剧为小中千昭，原创角色形象设计为安倍吉俊，由中村隆太郎导演，production 2nd制作。在北美的制作发行公司为Geneon，在新加坡的制作发行公司为Odex。 | [维基百科](https://zh.wikipedia.org/zh-cn/玲音) (\*) |
| ansatsu kyoushitsu | 暗杀教室 | 《暗杀教室》（日语：暗殺教室）是由松井优征所作的一部校园漫画。于《周刊少年Jump》（集英社）2012年31号开始连载。每话的标题是“XX的时间”。在台湾，由东立出版社的《宝岛少年》2012年46号开始连载，每话的标题是“XX的一课”。在香港，由天下出版代理发行，每话的标题是“XX课”。 | [维基百科](https://zh.wikipedia.org/zh-cn/暗殺教室) (\*) |
| mirrors edge | 镜之边缘 | 《镜之边缘》（英语：Mirror's Edge，港台译作“靓影特务”，又译作“暗镜迷踪”）是由EA DICE开发，并由艺电发行的第一人称动作冒险游戏，这也是史上第一款以跑酷为题材制作的电子游戏。该游戏公布于2007年7月10日，并于2008年11月在PlayStation 3和Xbox 360的平台发行，Windows版本则在2009年1月13日发行。游戏采用虚幻引擎3，并加入了由Illuminate Labs和DICE联合开发光照新解决方案。 | [维基百科](https://zh.wikipedia.org/zh-cn/镜之边缘) (\*) |
| galilei donna | 伽利略少女 | 《伽利略少女》（ガリレイドンナ，Galileidonna），是A-1 Pictures制作的日本电视动画作品。由2013年10月10日开始，在富士电视台的深夜动画节目《noitaminA》中播放。略称为《伽利女》（ガリドン）。 | [维基百科](https://zh.wikipedia.org/zh-cn/伽利略少女) (\*) |
| teenage mutant ninja turtles | 忍者神龟 | 忍者神龟（英语：Teenage Mutant Ninja Turtles，缩写TMNT，简称Ninja Turtles），是由4只基因突变的乌龟所组成的忍者团体，并得到斯普林特师父的忍术训练和指导。他们住在纽约曼哈顿的下水道，夜间出动，打击街头犯罪、邪恶势力和外星入侵，同时他们始终和外界社会保持距离。这些人物最早在漫画里登场，随后广泛的出现在授权改编的动画片、电影和玩具中。 | [维基百科](https://zh.wikipedia.org/zh-cn/忍者龜) (\*) |
| all purpose cultural cat girl nuku nuku | 万能文化猫娘 | 《万能文化猫娘》（日语：万能文化猫娘）是日本漫画家高田裕三的漫画作品，1990年到1991年期间连载于‘Weekly漫画ACTION増刊・増刊王’共3回。简称“万猫”。1992年发售OVA，1998年1月7日开始播放电视动画。1998年发售新OVA《万能文化猫娘DASH!》。 | [维基百科](https://zh.wikipedia.org/zh-cn/万能文化猫娘) (\*) |
| absolute duo | 绝对双刃 | 《绝对双刃》（日语：アブソリュート・デュオ，英语：Absolute Duo），为柊星巧所创作，浅葉ゆう负责插画的日本轻小说。 | [维基百科](https://zh.wikipedia.org/zh-cn/絕對雙刃) (\*) |
| avatar | 阿凡达 | 《阿凡达》（英语：Avatar）是2009年上映的一部美国科幻史诗式电影，由詹姆斯·卡梅隆撰写剧本并执导，主要演员有萨姆·沃辛顿、佐伊·索尔达娜、西格妮·韦弗、米歇尔·罗德里格兹和斯蒂芬·朗。电影设定于2154年，当时人类正在南门二恒星系生态茂盛的潘多拉卫星上开采珍稀矿产难得素。采矿殖民地的扩张威胁到了当地部落纳美人的生存：纳威人是土生土长于潘多拉星球上的有感知智慧能力的类人种族。电影的标题“阿凡达”，指的是经过基因改造而能为部分人类所控制的纳威人身体，人类使用他们来同潘多拉星上的原住民展开交流。 | [维基百科](https://zh.wikipedia.org/zh-cn/阿凡达) (\*) |
